split,sequence,sequence_masked,citseg,label,label2,label_confidence,label2_confidence,section,source,citingPaperId,citedPaperId,citeStart,citeEnd,isKeyCitation,id
train,"In contrast to human capital approach, these methods represent rather macroeconomic perspective and measure actual production losses [18, 19].","In contrast to human capital approach, these methods represent rather macroeconomic perspective and measure actual production losses CITSEG.","[18, 19]",result,not_supportive,1.0,0.6464999914169312,Methods,explicit,cec597adc29eefcf6afbba99174e1818b23fa9af,e1cf6fa5635d7356cd76e37d19540f395d3f0767,133,141,False,cec597adc29eefcf6afbba99174e1818b23fa9af>e1cf6fa5635d7356cd76e37d19540f395d3f0767
validation,"Although the US Black Women (15) and Danish (20) cohorts, as well as our own, excluded womenwith physician-diagnosed depression at baseline, other studies did not (7, 13, 15, 18, 20, 24).","Although the US Black Women CITSEG and Danish (20) cohorts, as well as our own, excluded womenwith physician-diagnosed depression at baseline, other studies did not (7, 13, 15, 18, 20, 24).",(15),result,not_supportive,1.0,1.0,DISCUSSION,explicit,ad17631e93d1cea903a86611e867623ad3cbc5f2,d2b6395a90b11ede755259a227dd3c47e6fa371e,28,32,True,ad17631e93d1cea903a86611e867623ad3cbc5f2>d2b6395a90b11ede755259a227dd3c47e6fa371e
train,"While in various studies a high diagnostic accuracy for detecting SDB and a good correlation of AHI values has been shown for polygraphs compared with polysomnography [47-52], it is conceivable that the patients in this study population did not sleep well during the night before surgery and thus, the polygraphs might have underestimated the AHI scores in this setting.","While in various studies a high diagnostic accuracy for detecting SDB and a good correlation of AHI values has been shown for polygraphs compared with polysomnography CITSEG, it is conceivable that the patients in this study population did not sleep well during the night before surgery and thus, the polygraphs might have underestimated the AHI scores in this setting.",[47-52],result,not_supportive,0.6273000240325928,0.6273000240325928,Discussion,explicit,64ad842864728a81c87dd845b8309268124d3eae,55818794ae94bc9a43463e80a49724652f6aa39b,167,174,True,64ad842864728a81c87dd845b8309268124d3eae>55818794ae94bc9a43463e80a49724652f6aa39b
train,"This is in sharp contrast to the observation that mycoheterotrophic gametophytes show quite specific associations with particular Glomus group A lineages; fungal taxa from the underground massive gametophytes of two Botrychium species (Winther and Friedman 2007) and seven Lycopodiaceae species (Winther and Friedman 2008) form a monophyletic clade, and Psilotum nudum (Winther and Friedman 2009) forms four distinct clades.","This is in sharp contrast to the observation that mycoheterotrophic gametophytes show quite specific associations with particular Glomus group A lineages; fungal taxa from the underground massive gametophytes of two Botrychium species CITSEG and seven Lycopodiaceae species (Winther and Friedman 2008) form a monophyletic clade, and Psilotum nudum (Winther and Friedman 2009) forms four distinct clades.",(Winther and Friedman 2007),result,not_supportive,1.0,0.6657000184059143,Discussion,explicit,c4be615a53b2d1b6484f6b7888c7bcf822ab5066,80d9ec6d56799e96bf5e3e99ff0f904892820308,235,262,True,c4be615a53b2d1b6484f6b7888c7bcf822ab5066>80d9ec6d56799e96bf5e3e99ff0f904892820308
train,"There are also some other studies [5, 6] directly grid partitioning the images into patches; however it is less intuitive to define the grids and hard to interpret the patches.",There are also some other studies CITSEG directly grid partitioning the images into patches; however it is less intuitive to define the grids and hard to interpret the patches.,"[5, 6]",result,not_supportive,0.6920999884605408,0.6920999884605408,1. INTRODUCTION,explicit,28171cf7e0e3f8f39ee253917fcc842a9e8a7b11,0bc5ed295234dba9d5f32a73fec22d8fc3d566fe,34,40,False,28171cf7e0e3f8f39ee253917fcc842a9e8a7b11>0bc5ed295234dba9d5f32a73fec22d8fc3d566fe
train,"However, some other studies did not support using 18S rRNA gene for species delimitation [28,47,48].","However, some other studies did not support using 18S rRNA gene for species delimitation CITSEG.","[28,47,48]",result,not_supportive,1.0,1.0,Discussion,explicit,4a71ab3365a50b266e364cd9d511c571c818830a,39e74d01b0a09e6a1eb51957968a3ad05aaee507,89,99,False,4a71ab3365a50b266e364cd9d511c571c818830a>39e74d01b0a09e6a1eb51957968a3ad05aaee507
train,"Our genealogy, based on many alleles but only the first exon of bindin, is not entirely consistent with that of McCartney and Lessios (2004), based on fewer alleles but incorporating the entire molecule.","Our genealogy, based on many alleles but only the first exon of bindin, is not entirely consistent with that of CITSEG, based on fewer alleles but incorporating the entire molecule.",McCartney and Lessios (2004),result,not_supportive,0.6261000037193298,0.6261000037193298,Results,explicit,1a5f3c7ce21bd8dafdc9a79b2741bcd5d7f4564e,1e553964ccc8ccc090450aaebe1c87aaacf9ec83,112,140,False,1a5f3c7ce21bd8dafdc9a79b2741bcd5d7f4564e>1e553964ccc8ccc090450aaebe1c87aaacf9ec83
train,"Our findings confirm previous reports [11-14,27], but several issues need to be considered when interpreting our results.","Our findings confirm previous reports CITSEG, but several issues need to be considered when interpreting our results.","[11-14,27]",result,not_supportive,0.7123000025749207,0.38359999656677246,Discussion,explicit,ec1e98f09ece1c0595deca70e9adbe46685f7850,b5af4bf2fd53644e12e4345ea3cd7f4027ace764,38,48,True,ec1e98f09ece1c0595deca70e9adbe46685f7850>b5af4bf2fd53644e12e4345ea3cd7f4027ace764
train,"It should be recognized nevertheless that the previously proposed formation and decay times of this hKL intermediate (Dioumaev and Braiman, 1997a) are now concluded to have been incorrect.",It should be recognized nevertheless that the previously proposed formation and decay times of this hKL intermediate (CITSEG) are now concluded to have been incorrect.,"Dioumaev and Braiman, 1997a",result,not_supportive,0.6186000108718872,0.3971000015735626,DISCUSSION,explicit,24fe18db8ad1c3b1d77a73b1fea0f9a471434bf7,57220e5e1106b295bab12105c79f6307ab220e0f,118,145,False,24fe18db8ad1c3b1d77a73b1fea0f9a471434bf7>57220e5e1106b295bab12105c79f6307ab220e0f
train,"Unlike many previous studies (Landry et al. 2005, McManus et al. 2010, Malone and Michalak 2008, Renaut et al. 2009, Bell et al. 2013, Coolon et al. 2014), we found that misexpression was rare among the genes we measured in hybrid zebra finches.","Unlike many previous studies (Landry et al. 2005, McManus et al. 2010, Malone and Michalak 2008, Renaut et al. 2009, Bell et al. 2013, CITSEG), we found that misexpression was rare among the genes we measured in hybrid zebra finches.",Coolon et al. 2014,result,not_supportive,1.0,0.6402000188827515,DISCUSSION,explicit,4a7abe00115bcee0d615d88fbd4d891671a009f1,720895e0bb8f2a9f6b84e0a8248e4b85feaf6ae2,135,153,True,4a7abe00115bcee0d615d88fbd4d891671a009f1>720895e0bb8f2a9f6b84e0a8248e4b85feaf6ae2
