file,sentence,citance,citance_masked_citseg,sentence_id,sentence_index,div_path,left_3,left_2,left_1,right_1,right_2,right_3,left_context,right_context,citance_context,sequence_masked_citseg,raw_ref_text,CFunc,TYPE,SELF,tag,attributes
Teufel_original_dataset/CFC_distribution/additional/0011020.cfc-scixml,"On the other hand, the efficiency gains are not as big as those reported by Samuelsson 1994.","On the other hand, the efficiency gains are not as big as those reported by Samuelsson 1994.","On the other hand, the efficiency gains are not as big as those reported by (CITSEG).",S-119,119,DIV-9,"The experiments are only sketched, to indicate the applicability of the instrumentation technique, and not to directly compete with other proposals on grammar specialization.","For example, the work reported in Samuelsson 1994, Samuelsson 1994 differs from the one presented below in several aspects: They induce a grammar from a treebank, while I propose to annotate the grammar based on all solutions it produces.","No criteria for tree decomposition and category specialization are needed here, and the standard parsing algorithm can be used.",,,,"The experiments are only sketched, to indicate the applicability of the instrumentation technique, and not to directly compete with other proposals on grammar specialization. For example, the work reported in Samuelsson 1994, Samuelsson 1994 differs from the one presented below in several aspects: They induce a grammar from a treebank, while I propose to annotate the grammar based on all solutions it produces. No criteria for tree decomposition and category specialization are needed here, and the standard parsing algorithm can be used.",,"The experiments are only sketched, to indicate the applicability of the instrumentation technique, and not to directly compete with other proposals on grammar specialization. For example, the work reported in Samuelsson 1994, Samuelsson 1994 differs from the one presented below in several aspects: They induce a grammar from a treebank, while I propose to annotate the grammar based on all solutions it produces. No criteria for tree decomposition and category specialization are needed here, and the standard parsing algorithm can be used. On the other hand, the efficiency gains are not as big as those reported by Samuelsson 1994.","The experiments are only sketched, to indicate the applicability of the instrumentation technique, and not to directly compete with other proposals on grammar specialization. For example, the work reported in Samuelsson 1994, Samuelsson 1994 differs from the one presented below in several aspects: They induce a grammar from a treebank, while I propose to annotate the grammar based on all solutions it produces. No criteria for tree decomposition and category specialization are needed here, and the standard parsing algorithm can be used. On the other hand, the efficiency gains are not as big as those reported by (CITSEG).",Samuelsson 1994,CoCoR0,,False,REF,"{""CFunc"": ""CoCoR0"", ""ID"": ""R-18""}"
Teufel_original_dataset/CFC_distribution/additional/0011020.cfc-scixml,"On the other hand, the efficiency gains are not as big as those reported by Rayner and Carter 1996 (but note that we cannot measure parsing times alone, so we need to compare to their speed-up factor of 10).","On the other hand, the efficiency gains are not as big as those reported by Rayner and Carter 1996 (but note that we cannot measure parsing times alone, so we need to compare to their speed-up factor of 10).","On the other hand, the efficiency gains are not as big as those reported by (CITSEG) (but note that we cannot measure parsing times alone, so we need to compare to their speed-up factor of 10).",S-156,156,DIV-9 > DIV-12,"Due to the derivation of the grammar from a corpus sample, they observed a decrease in recall of 7.3% and an increase of precision of 1.6%.","The differences to the approach described here are clear: Starting from the grammar, rather than from a treebank, we annotate the rules, rather than inducing them from scratch.","We do not need criteria for tree decomposition and category specialization, and we can use the standard parsing algorithm.","And we did not (yet) start from a treebank, but from the raw set of solutions.",,,"Due to the derivation of the grammar from a corpus sample, they observed a decrease in recall of 7.3% and an increase of precision of 1.6%. The differences to the approach described here are clear: Starting from the grammar, rather than from a treebank, we annotate the rules, rather than inducing them from scratch. We do not need criteria for tree decomposition and category specialization, and we can use the standard parsing algorithm.","And we did not (yet) start from a treebank, but from the raw set of solutions.","Due to the derivation of the grammar from a corpus sample, they observed a decrease in recall of 7.3% and an increase of precision of 1.6%. The differences to the approach described here are clear: Starting from the grammar, rather than from a treebank, we annotate the rules, rather than inducing them from scratch. We do not need criteria for tree decomposition and category specialization, and we can use the standard parsing algorithm. On the other hand, the efficiency gains are not as big as those reported by Rayner and Carter 1996 (but note that we cannot measure parsing times alone, so we need to compare to their speed-up factor of 10). And we did not (yet) start from a treebank, but from the raw set of solutions.","Due to the derivation of the grammar from a corpus sample, they observed a decrease in recall of 7.3% and an increase of precision of 1.6%. The differences to the approach described here are clear: Starting from the grammar, rather than from a treebank, we annotate the rules, rather than inducing them from scratch. We do not need criteria for tree decomposition and category specialization, and we can use the standard parsing algorithm. On the other hand, the efficiency gains are not as big as those reported by (CITSEG) (but note that we cannot measure parsing times alone, so we need to compare to their speed-up factor of 10). And we did not (yet) start from a treebank, but from the raw set of solutions.",Rayner and Carter 1996,CoCoR0,,False,REF,"{""CFunc"": ""CoCoR0"", ""ID"": ""R-23""}"
Teufel_original_dataset/CFC_distribution/additional/0005015.cfc-scixml,"The overall system reached an F score of 83.79 and this is slightly better than the best rate reported at the CoNLL-99 workshop (82.98 CoNLL 1999, an error reduction of 5%).","The overall system reached an F score of 83.79 and this is slightly better than the best rate reported at the CoNLL-99 workshop (82.98 CoNLL 1999, an error reduction of 5%).","The overall system reached an F score of 83.79 and this is slightly better than the best rate reported at the CoNLL-99 workshop (82.98 (CITSEG), an error reduction of 5%).",S-117,117,DIV-7,The O+C representation outperformed the other four representations by a large margin for the validation data.,This caused the combined output of all five representations being worse than the O+C result.,Therefore we have only used the O+C representation for recognizing non-baseNPs.,,,,The O+C representation outperformed the other four representations by a large margin for the validation data. This caused the combined output of all five representations being worse than the O+C result. Therefore we have only used the O+C representation for recognizing non-baseNPs.,,"The O+C representation outperformed the other four representations by a large margin for the validation data. This caused the combined output of all five representations being worse than the O+C result. Therefore we have only used the O+C representation for recognizing non-baseNPs. The overall system reached an F score of 83.79 and this is slightly better than the best rate reported at the CoNLL-99 workshop (82.98 CoNLL 1999, an error reduction of 5%).","The O+C representation outperformed the other four representations by a large margin for the validation data. This caused the combined output of all five representations being worse than the O+C result. Therefore we have only used the O+C representation for recognizing non-baseNPs. The overall system reached an F score of 83.79 and this is slightly better than the best rate reported at the CoNLL-99 workshop (82.98 (CITSEG), an error reduction of 5%).",CoNLL 1999,CoRes-,,False,REF,"{""CFunc"": ""CoRes-"", ""ID"": ""R-24""}"
Teufel_original_dataset/CFC_distribution/additional/0008034.cfc-scixml,A comparison of the performance gain due to grammar lexicalization shows that our results are on a par with that reported in Charniak 1997.,A comparison of the performance gain due to grammar lexicalization shows that our results are on a par with that reported in Charniak 1997.,A comparison of the performance gain due to grammar lexicalization shows that our results are on a par with that reported in (CITSEG).,S-129,129,DIV-13,"There, a 70.4% precision is reported on a verb frame recognition task on 584 examples.","However, the gain achieved by Beil et al. 1999 due to grammar lexicalizaton is only 2%, compared to about 10% in our case.","A comparison is difficult also for most other state-of-the-art PCFG - based statistical parsers, since different training and test data, and most importantly, different evaluation criteria were used.",,,,"There, a 70.4% precision is reported on a verb frame recognition task on 584 examples. However, the gain achieved by Beil et al. 1999 due to grammar lexicalizaton is only 2%, compared to about 10% in our case. A comparison is difficult also for most other state-of-the-art PCFG - based statistical parsers, since different training and test data, and most importantly, different evaluation criteria were used.",,"There, a 70.4% precision is reported on a verb frame recognition task on 584 examples. However, the gain achieved by Beil et al. 1999 due to grammar lexicalizaton is only 2%, compared to about 10% in our case. A comparison is difficult also for most other state-of-the-art PCFG - based statistical parsers, since different training and test data, and most importantly, different evaluation criteria were used. A comparison of the performance gain due to grammar lexicalization shows that our results are on a par with that reported in Charniak 1997.","There, a 70.4% precision is reported on a verb frame recognition task on 584 examples. However, the gain achieved by Beil et al. 1999 due to grammar lexicalizaton is only 2%, compared to about 10% in our case. A comparison is difficult also for most other state-of-the-art PCFG - based statistical parsers, since different training and test data, and most importantly, different evaluation criteria were used. A comparison of the performance gain due to grammar lexicalization shows that our results are on a par with that reported in (CITSEG).",Charniak 1997,CoCoR0,,False,REF,"{""CFunc"": ""CoCoR0"", ""ID"": ""R-28""}"
Teufel_original_dataset/CFC_distribution/additional/0003055.cfc-scixml,The Penn Treebank results reported here for the Markov model approach are at least equivalent to those reported for the Maximum Entropy approach in Ratnaparkhi 1996.,The Penn Treebank results reported here for the Markov model approach are at least equivalent to those reported for the Maximum Entropy approach in Ratnaparkhi 1996.,The Penn Treebank results reported here for the Markov model approach are at least equivalent to those reported for the Maximum Entropy approach in (CITSEG).,S-19,19,DIV-1,We argue that it is not only the choice of the general model that determines the result of the tagger but also the various `` small '' decisions on alternatives.,The aim of this paper is to give a detailed account of the techniques used in TnT.,"Additionally, we present results of the tagger on the NEGRA corpus Brants et al. 1999 and the Penn Treebank Marcus et al. 1993.","For a comparison to other taggers, the reader is referred to Zavrel and Daelemans 1999.",,,"We argue that it is not only the choice of the general model that determines the result of the tagger but also the various `` small '' decisions on alternatives. The aim of this paper is to give a detailed account of the techniques used in TnT. Additionally, we present results of the tagger on the NEGRA corpus Brants et al. 1999 and the Penn Treebank Marcus et al. 1993.","For a comparison to other taggers, the reader is referred to Zavrel and Daelemans 1999.","We argue that it is not only the choice of the general model that determines the result of the tagger but also the various `` small '' decisions on alternatives. The aim of this paper is to give a detailed account of the techniques used in TnT. Additionally, we present results of the tagger on the NEGRA corpus Brants et al. 1999 and the Penn Treebank Marcus et al. 1993. The Penn Treebank results reported here for the Markov model approach are at least equivalent to those reported for the Maximum Entropy approach in Ratnaparkhi 1996. For a comparison to other taggers, the reader is referred to Zavrel and Daelemans 1999.","We argue that it is not only the choice of the general model that determines the result of the tagger but also the various `` small '' decisions on alternatives. The aim of this paper is to give a detailed account of the techniques used in TnT. Additionally, we present results of the tagger on the NEGRA corpus Brants et al. 1999 and the Penn Treebank Marcus et al. 1993. The Penn Treebank results reported here for the Markov model approach are at least equivalent to those reported for the Maximum Entropy approach in (CITSEG). For a comparison to other taggers, the reader is referred to Zavrel and Daelemans 1999.",Ratnaparkhi 1996,CoCoR0,,False,REF,"{""CFunc"": ""CoCoR0"", ""ID"": ""R-12""}"
Teufel_original_dataset/CFC_distribution/additional/0003055.cfc-scixml,"According to current tagger comparisons Halteren et al. 1998, Zavrel and Daelemans 1999, and according to a comparsion of the results presented here with those in Ratnaparkhi 1996, the Maximum Entropy framework seems to be the only other approach yielding comparable results to the one presented here.","According to current tagger comparisons Halteren et al. 1998, Zavrel and Daelemans 1999, and according to a comparsion of the results presented here with those in Ratnaparkhi 1996, the Maximum Entropy framework seems to be the only other approach yielding comparable results to the one presented here.","According to current tagger comparisons Halteren et al. 1998, Zavrel and Daelemans 1999, and according to a comparsion of the results presented here with those in (CITSEG), the Maximum Entropy framework seems to be the only other approach yielding comparable results to the one presented here.",S-175,175,DIV-12,Note that the decisions we made yield good results for both the German and the English Corpus.,They do so for several other corpora as well.,The architecture remains applicable to a large variety of languages.,"It is a very interesting future research topic to determine the advantages of either of these approaches, to find the reason for their high accuracies, and to find a good combination of both.",TnT is freely available to universities and related organizations for research purposes (see http: //www.coli.uni-sb.de/~thorsten/tnt).,,Note that the decisions we made yield good results for both the German and the English Corpus. They do so for several other corpora as well. The architecture remains applicable to a large variety of languages.,"It is a very interesting future research topic to determine the advantages of either of these approaches, to find the reason for their high accuracies, and to find a good combination of both. TnT is freely available to universities and related organizations for research purposes (see http: //www.coli.uni-sb.de/~thorsten/tnt).","Note that the decisions we made yield good results for both the German and the English Corpus. They do so for several other corpora as well. The architecture remains applicable to a large variety of languages. According to current tagger comparisons Halteren et al. 1998, Zavrel and Daelemans 1999, and according to a comparsion of the results presented here with those in Ratnaparkhi 1996, the Maximum Entropy framework seems to be the only other approach yielding comparable results to the one presented here. It is a very interesting future research topic to determine the advantages of either of these approaches, to find the reason for their high accuracies, and to find a good combination of both. TnT is freely available to universities and related organizations for research purposes (see http: //www.coli.uni-sb.de/~thorsten/tnt).","Note that the decisions we made yield good results for both the German and the English Corpus. They do so for several other corpora as well. The architecture remains applicable to a large variety of languages. According to current tagger comparisons Halteren et al. 1998, Zavrel and Daelemans 1999, and according to a comparsion of the results presented here with those in (CITSEG), the Maximum Entropy framework seems to be the only other approach yielding comparable results to the one presented here. It is a very interesting future research topic to determine the advantages of either of these approaches, to find the reason for their high accuracies, and to find a good combination of both. TnT is freely available to universities and related organizations for research purposes (see http: //www.coli.uni-sb.de/~thorsten/tnt).",Ratnaparkhi 1996,CoCoR0,,False,REF,"{""CFunc"": ""CoCoR0"", ""ID"": ""R-24""}"
Teufel_original_dataset/CFC_distribution/additional/0008035.cfc-scixml,We evaluated this simple method on a large number of real-world translations and got results comparable to related approaches such as that of Dagan and Itai Dagan and Itai 1994 where much more selectional information is used.,We evaluated this simple method on a large number of real-world translations and got results comparable to related approaches such as that of Dagan and Itai Dagan and Itai 1994 where much more selectional information is used.,We evaluated this simple method on a large number of real-world translations and got results comparable to related approaches such as that of Dagan and Itai (CITSEG) where much more selectional information is used.,S-22,22,DIV-1,Disambiguation then is done by a simple look-up in the probabilistic lexicon.,We restrict our attention to a definition of senses as alternative translations of source-words.,Our approach provides a very natural solution for such a target-language disambiguation task--look for the most frequent target-noun whose semantics fits best with the semantics required by the target-verb.,,,,Disambiguation then is done by a simple look-up in the probabilistic lexicon. We restrict our attention to a definition of senses as alternative translations of source-words. Our approach provides a very natural solution for such a target-language disambiguation task--look for the most frequent target-noun whose semantics fits best with the semantics required by the target-verb.,,Disambiguation then is done by a simple look-up in the probabilistic lexicon. We restrict our attention to a definition of senses as alternative translations of source-words. Our approach provides a very natural solution for such a target-language disambiguation task--look for the most frequent target-noun whose semantics fits best with the semantics required by the target-verb. We evaluated this simple method on a large number of real-world translations and got results comparable to related approaches such as that of Dagan and Itai Dagan and Itai 1994 where much more selectional information is used.,Disambiguation then is done by a simple look-up in the probabilistic lexicon. We restrict our attention to a definition of senses as alternative translations of source-words. Our approach provides a very natural solution for such a target-language disambiguation task--look for the most frequent target-noun whose semantics fits best with the semantics required by the target-verb. We evaluated this simple method on a large number of real-world translations and got results comparable to related approaches such as that of Dagan and Itai (CITSEG) where much more selectional information is used.,Dagan and Itai 1994,CoCoR0,,False,REF,"{""CFunc"": ""CoCoR0"", ""ID"": ""R-5""}"
Teufel_original_dataset/CFC_distribution/additional/0008035.cfc-scixml,The most direct point of comparison is the method of Dagan and Itai Dagan and Itai 1994 which gives 91.4 % precision (92.7 % standardized) and 62.1 % effectiveness (66.8 % standardized) on 103 test examples for target word selection in the transfer of Hebrew to English.,The most direct point of comparison is the method of Dagan and Itai Dagan and Itai 1994 which gives 91.4 % precision (92.7 % standardized) and 62.1 % effectiveness (66.8 % standardized) on 103 test examples for target word selection in the transfer of Hebrew to English.,The most direct point of comparison is the method of Dagan and Itai (CITSEG) which gives 91.4 % precision (92.7 % standardized) and 62.1 % effectiveness (66.8 % standardized) on 103 test examples for target word selection in the transfer of Hebrew to English.,S-122,122,DIV-7,50 % for all approaches.,The standardized precision of our approach is ca.,79 % on all test corpora.,"However, compensating this high precision measure for the low effectiveness gives values comparable to our results.","Dagan and Itai ' s Dagan and Itai 1994 method is based on a large variety of grammatical relations for verbal, nominal, and adjectival predicates, but no class-based information or slot-labeling is used.",Resnik Resnik 1997 presented a disambiguation method which yields 44.3 % precision (63.8 % standardized) for a test set of 88 verb-object tokens.,50 % for all approaches. The standardized precision of our approach is ca. 79 % on all test corpora.,"However, compensating this high precision measure for the low effectiveness gives values comparable to our results. Dagan and Itai ' s Dagan and Itai 1994 method is based on a large variety of grammatical relations for verbal, nominal, and adjectival predicates, but no class-based information or slot-labeling is used. Resnik Resnik 1997 presented a disambiguation method which yields 44.3 % precision (63.8 % standardized) for a test set of 88 verb-object tokens.","50 % for all approaches. The standardized precision of our approach is ca. 79 % on all test corpora. The most direct point of comparison is the method of Dagan and Itai Dagan and Itai 1994 which gives 91.4 % precision (92.7 % standardized) and 62.1 % effectiveness (66.8 % standardized) on 103 test examples for target word selection in the transfer of Hebrew to English. However, compensating this high precision measure for the low effectiveness gives values comparable to our results. Dagan and Itai ' s Dagan and Itai 1994 method is based on a large variety of grammatical relations for verbal, nominal, and adjectival predicates, but no class-based information or slot-labeling is used. Resnik Resnik 1997 presented a disambiguation method which yields 44.3 % precision (63.8 % standardized) for a test set of 88 verb-object tokens.","50 % for all approaches. The standardized precision of our approach is ca. 79 % on all test corpora. The most direct point of comparison is the method of Dagan and Itai (CITSEG) which gives 91.4 % precision (92.7 % standardized) and 62.1 % effectiveness (66.8 % standardized) on 103 test examples for target word selection in the transfer of Hebrew to English. However, compensating this high precision measure for the low effectiveness gives values comparable to our results. Dagan and Itai ' s Dagan and Itai 1994 method is based on a large variety of grammatical relations for verbal, nominal, and adjectival predicates, but no class-based information or slot-labeling is used. Resnik Resnik 1997 presented a disambiguation method which yields 44.3 % precision (63.8 % standardized) for a test set of 88 verb-object tokens.",Dagan and Itai 1994,CoCoR0,,False,REF,"{""CFunc"": ""CoCoR0"", ""ID"": ""R-15""}"
Teufel_original_dataset/CFC_distribution/additional/0008012.cfc-scixml,"This is different from the combination results presented in Van Halteren et al. Halteren et al. 1998, in which pairwise voting performed best.","This is different from the combination results presented in Van Halteren et al. Halteren et al. 1998, in which pairwise voting performed best.","This is different from the combination results presented in Van Halteren et al. (CITSEG), in which pairwise voting performed best.",S-138,138,DIV-7,The bracket accuracies and the F scores for test data can be found in Table.,All combinations improve the results of the best individual classifier.,The best results were obtained with a memory-based stacked classifier.,"However, in their later work stacked classifiers outperform voting methods as well Halteren et al. to appear.",Based on an earlier combination study Tjong and Sang 2000 we had expected the voting methods to do better.,We suspect that their performance is below that of the stacked classifiers because the difference between the best and the worst individual system is larger than in our earlier study.,The bracket accuracies and the F scores for test data can be found in Table. All combinations improve the results of the best individual classifier. The best results were obtained with a memory-based stacked classifier.,"However, in their later work stacked classifiers outperform voting methods as well Halteren et al. to appear. Based on an earlier combination study Tjong and Sang 2000 we had expected the voting methods to do better. We suspect that their performance is below that of the stacked classifiers because the difference between the best and the worst individual system is larger than in our earlier study.","The bracket accuracies and the F scores for test data can be found in Table. All combinations improve the results of the best individual classifier. The best results were obtained with a memory-based stacked classifier. This is different from the combination results presented in Van Halteren et al. Halteren et al. 1998, in which pairwise voting performed best. However, in their later work stacked classifiers outperform voting methods as well Halteren et al. to appear. Based on an earlier combination study Tjong and Sang 2000 we had expected the voting methods to do better. We suspect that their performance is below that of the stacked classifiers because the difference between the best and the worst individual system is larger than in our earlier study.","The bracket accuracies and the F scores for test data can be found in Table. All combinations improve the results of the best individual classifier. The best results were obtained with a memory-based stacked classifier. This is different from the combination results presented in Van Halteren et al. (CITSEG), in which pairwise voting performed best. However, in their later work stacked classifiers outperform voting methods as well Halteren et al. to appear. Based on an earlier combination study Tjong and Sang 2000 we had expected the voting methods to do better. We suspect that their performance is below that of the stacked classifiers because the difference between the best and the worst individual system is larger than in our earlier study.",Halteren et al. 1998,CoCoR0,,True,REF,"{""CFunc"": ""CoCoR0"", ""ID"": ""R-63"", ""SELF"": ""YES""}"
Teufel_original_dataset/CFC_distribution/additional/0102019.cfc-scixml,"Tesar and Smolensky show that the learner converges after seeing at most O (n2) suboptimal attested forms, and hence after at most O (n2) passes through.","Tesar and Smolensky show that the learner converges after seeing at most O (n2) suboptimal attested forms, and hence after at most O (n2) passes through.","Tesar and (CITSEG) show that the learner converges after seeing at most O (n2) suboptimal attested forms, and hence after at most O (n2) passes through.",S-158,158,DIV-8 > DIV-10,"This is identical to the `` online '' CD algorithm of;, except that for each attested form x that is presented to the learner, EDCD automatically chooses a competitor, where is the ranking at the time.","If the supply of attested forms is limited, as assumed in this paper, one may iterate over them repeatedly, modifying, until they are all optimal.","When an attested form x is suboptimal, the algorithm takes time O (nE) to compile x, y into a disjunctive clause and time O (n) to process that clause using CD.","Hence the total time is O (n3E+mn2P), where P is the time required by OPT.","This is superficially worse than our RCDALL, which takes time O (mn2P), but really about as good since P dominates (see;).","Mainly, RCDALL is simpler.","This is identical to the `` online '' CD algorithm of;, except that for each attested form x that is presented to the learner, EDCD automatically chooses a competitor, where is the ranking at the time. If the supply of attested forms is limited, as assumed in this paper, one may iterate over them repeatedly, modifying, until they are all optimal. When an attested form x is suboptimal, the algorithm takes time O (nE) to compile x, y into a disjunctive clause and time O (n) to process that clause using CD.","Hence the total time is O (n3E+mn2P), where P is the time required by OPT. This is superficially worse than our RCDALL, which takes time O (mn2P), but really about as good since P dominates (see;). Mainly, RCDALL is simpler.","This is identical to the `` online '' CD algorithm of;, except that for each attested form x that is presented to the learner, EDCD automatically chooses a competitor, where is the ranking at the time. If the supply of attested forms is limited, as assumed in this paper, one may iterate over them repeatedly, modifying, until they are all optimal. When an attested form x is suboptimal, the algorithm takes time O (nE) to compile x, y into a disjunctive clause and time O (n) to process that clause using CD. Tesar and Smolensky show that the learner converges after seeing at most O (n2) suboptimal attested forms, and hence after at most O (n2) passes through. Hence the total time is O (n3E+mn2P), where P is the time required by OPT. This is superficially worse than our RCDALL, which takes time O (mn2P), but really about as good since P dominates (see;). Mainly, RCDALL is simpler.","This is identical to the `` online '' CD algorithm of;, except that for each attested form x that is presented to the learner, EDCD automatically chooses a competitor, where is the ranking at the time. If the supply of attested forms is limited, as assumed in this paper, one may iterate over them repeatedly, modifying, until they are all optimal. When an attested form x is suboptimal, the algorithm takes time O (nE) to compile x, y into a disjunctive clause and time O (n) to process that clause using CD. Tesar and (CITSEG) show that the learner converges after seeing at most O (n2) suboptimal attested forms, and hence after at most O (n2) passes through. Hence the total time is O (n3E+mn2P), where P is the time required by OPT. This is superficially worse than our RCDALL, which takes time O (mn2P), but really about as good since P dominates (see;). Mainly, RCDALL is simpler.",Smolensky,CoCoR0,,False,REFAUTHOR,"{""CFunc"": ""CoCoR0"", ""ID"": ""R-45""}"
